"id","order_id","product_id","product_name","product_price","quantity","subtotal","product_image"
"11","12","46","1 dozen Rose","899.00","1","899.00","https://res.cloudinary.com/dzk840qjn/image/upload/v1772019245/6122850414941114225_al50bu.jpg"
"12","13","82","RED ROSES BOUQUET","2500.00","1","2500.00","https://res.cloudinary.com/dzk840qjn/image/upload/v1772185118/6127488051907858037_bfez8z.jpg"
"22","22","99","RED AND PINK CHINA ROSE","4699.00","1","4699.00","https://res.cloudinary.com/dzk840qjn/image/upload/v1772187447/6127488051907858148_n6r3qa.jpg"
"23","22","69","1 DOZEN PINK TULIPS","3500.00","1","3500.00","https://res.cloudinary.com/dzk840qjn/image/upload/v1772020573/6122850414941114298_dtu8il.jpg"
