"id","name","slug","image_url","display_order","created_at"
"1","Local Roses","roses",,"1","2026-02-18 14:13:02.216557"
"2","Tulips","tulips",,"2","2026-02-18 14:13:02.283381"
"3","Sunflowers","bouquets",,"3","2026-02-18 14:13:02.348249"
"4","Carnation","carnation",,"4","2026-02-20 15:48:19.045665"
"5","Stargazer","stargazer",,"5","2026-02-20 15:48:19.04528"
"8","China Roses","china-roses",,"0","2026-02-27 10:22:22.316438"
"10","Hydrangea ","hydrangea",,"0","2026-03-01 03:01:09.032873"
"11","Gerbera ","gerbera",,"0","2026-03-01 03:11:59.523818"
"12","Peonies ","peonies",,"0","2026-03-01 07:46:42.466308"
